Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1578.9559458129504
FDW14,OUT017,1454.4664676172604
NCN55,OUT010,574.8155401426071
FDQ58,OUT017,2505.51761315848
FDY38,OUT027,5830.145016659432
FDH56,OUT046,1943.7336985108725
FDL48,OUT018,742.8995432069515
FDC48,OUT027,2174.0246341364486
FDN33,OUT045,1531.8684621771513
FDA36,OUT017,3054.6015687836375
FDT44,OUT017,1968.7829354095766
FDQ56,OUT045,1441.6382918072509
NCC54,OUT019,575.0182310268874
FDU11,OUT049,2014.5709565308346
DRL59,OUT013,854.0798563329892
FDM24,OUT049,2485.652097039102
FDI57,OUT045,3077.9875140186964
DRC12,OUT018,3052.474268477053
NCM42,OUT027,2910.2795924460625
FDA46,OUT010,504.4001772605516
FDA31,OUT013,2848.472614498934
NCJ31,OUT035,3890.6302949741967
FDG52,OUT046,740.0397143501136
NCL19,OUT019,289.95747032660273
FDS10,OUT035,3018.3293106380147
FDX22,OUT010,566.8452003364048
NCF19,OUT035,737.4189572439993
NCE06,OUT046,2553.046452356799
DRC27,OUT046,3890.4345932809897
FDE21,OUT035,1943.7336985108725
NCR42,OUT019,131.63648083977358
FDX51,OUT018,3052.474268477053
NCR06,OUT018,666.5273873821496
FDU31,OUT027,5830.145016659432
FDU59,OUT017,2566.164875297683
FDR03,OUT027,5830.145016659432
FDS49,OUT027,2048.161664096142
FDD48,OUT010,268.4040679668305
NCF18,OUT017,3054.6015687836375
NCD43,OUT027,2863.6257964823144
NCD54,OUT018,2121.3389643968803
FDY19,OUT010,268.6882516018811
NCY54,OUT017,2848.472614498934
NCL19,OUT018,2480.948489333572
FDP23,OUT010,570.4754742873583
FDC26,OUT013,1710.4072153865206
FDR14,OUT010,131.63648083977358
NCS41,OUT035,3054.6015687836375
FDF41,OUT035,3895.8674418099295
FDU34,OUT046,2019.8390901867156
DRH11,OUT046,960.0744621007411
FDM03,OUT013,1578.9559458129504
FDS31,OUT017,3027.2199403292416
FDJ20,OUT017,2014.5709565308346
FDV44,OUT027,5217.613294737319
FDG02,OUT049,3057.26367749816
FDA09,OUT013,2978.81442069471
FDT04,OUT013,715.8650557794313
FDL58,OUT019,574.0625229985197
FDE52,OUT045,1493.8690098229945
FDW12,OUT035,2480.948489333572
FDL51,OUT017,3653.0370236814197
NCY42,OUT027,3026.035979180878
FDR07,OUT017,1534.1420946666735
FDN40,OUT045,2494.70559251172
FDB35,OUT027,2716.3856803698795
FDA22,OUT017,2567.904116490291
NCL06,OUT046,4047.2897796838765
FDI35,OUT013,3027.2199403292416
NCW42,OUT045,3783.377826676849
NCX06,OUT049,2986.4156428694423
FDC37,OUT027,2892.108020945404
FDZ14,OUT018,2014.5709565308346
DRG49,OUT049,3877.949252556089
NCG06,OUT045,4034.97381232153
DRC36,OUT045,2848.472614498934
FDV21,OUT019,281.2049887858581
FDB53,OUT046,2485.652097039102
DRP47,OUT019,573.0536452761778
FDA14,OUT013,2483.258745493
DRC24,OUT035,2494.70559251172
FDW21,OUT018,1554.287421809352
NCH29,OUT046,1537.2687971762762
FDU58,OUT013,3054.6015687836375
FDY27,OUT017,2876.7457864110165
FDV56,OUT035,1590.6822090971598
FDT59,OUT046,3849.8151794903824
FDB23,OUT046,3800.522328259534
FDR49,OUT045,737.197159890457
FDB03,OUT010,575.0733178786802
FDN39,OUT045,2567.904116490291
FDX02,OUT027,5830.145016659432
FDQ16,OUT027,2892.108020945404
FDU35,OUT018,1544.6312573310636
NCT29,OUT013,2014.5709565308346
FDZ27,OUT046,740.0397143501136
FDN57,OUT017,2034.304762947818
FDA03,OUT018,2485.652097039102
FDZ36,OUT045,3054.6015687836375
NCU05,OUT013,1475.5327129813177
FDT39,OUT018,2485.652097039102
FDK60,OUT017,1534.1420946666735
FDZ25,OUT017,2767.5238599587756
FDG12,OUT046,2014.5709565308346
DRB01,OUT019,500.66506794916467
NCC43,OUT027,5830.145016659432
FDX13,OUT019,570.2085737003756
FDM22,OUT049,871.9362346682564
FDJ03,OUT027,1023.0678378039333
FDU14,OUT018,3798.8174102398443
FDB33,OUT010,379.55068424108197
FDP27,OUT046,3054.6015687836375
FDO38,OUT010,157.12434453630567
FDE28,OUT027,5830.145016659432
FDO27,OUT035,1531.8684621771513
DRL23,OUT027,2892.108020945404
FDS28,OUT046,958.4466741296688
FDX24,OUT013,1545.037567269556
FDZ02,OUT035,1534.1420946666735
FDL46,OUT045,1943.7336985108725
FDS60,OUT027,4748.088562513239
NCO06,OUT017,658.9807842655808
FDO16,OUT035,1434.498586876013
FDC60,OUT049,1457.5239047266734
FDA48,OUT018,3554.999885689788
FDZ36,OUT027,5217.613294737319
FDK27,OUT045,2011.3791360426758
FDW23,OUT018,664.5437179036028
FDM14,OUT018,1675.1151264141631
