Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1647.6414366087733
FDW14,OUT017,1365.608904710052
NCN55,OUT010,571.258308883624
FDQ58,OUT017,2468.705567911427
FDY38,OUT027,5849.012787338916
FDH56,OUT046,1948.013346122011
FDL48,OUT018,771.4751866107488
FDC48,OUT027,2171.61434778672
FDN33,OUT045,1518.9453542364456
FDA36,OUT017,3105.8002455776746
FDT44,OUT017,1932.3687070330652
FDQ56,OUT045,1366.4326524774835
NCC54,OUT019,572.1453456523492
FDU11,OUT049,2021.240179010575
DRL59,OUT013,878.6537579311245
FDM24,OUT049,2458.885525911621
FDI57,OUT045,3049.790608332256
DRC12,OUT018,2965.94997414205
NCM42,OUT027,2906.2109580876345
FDA46,OUT010,507.25100788655124
FDA31,OUT013,2855.4898593679145
NCJ31,OUT035,3883.2268769342813
FDG52,OUT046,794.0849361341844
NCL19,OUT019,288.68565447294134
FDS10,OUT035,2985.1896572952496
FDX22,OUT010,560.9943507192943
NCF19,OUT035,763.5139155030677
NCE06,OUT046,2553.5507922707493
DRC27,OUT046,3879.3315228447373
FDE21,OUT035,1951.9030932255223
NCR42,OUT019,131.17966212482455
FDX51,OUT018,2986.8923536378807
NCR06,OUT018,610.9425709925295
FDU31,OUT027,5852.582938340999
FDU59,OUT017,2549.7206138839642
FDR03,OUT027,5852.862348798287
FDS49,OUT027,2090.0300759610745
FDD48,OUT010,268.33917180413675
NCF18,OUT017,3037.4316845329345
NCD43,OUT027,2861.6975825834566
NCD54,OUT018,2112.0036873270997
FDY19,OUT010,269.12383375242115
NCY54,OUT017,2868.291737975366
NCL19,OUT018,2440.142713671213
FDP23,OUT010,568.1010835469641
FDC26,OUT013,1747.013981841597
FDR14,OUT010,131.17966212482455
NCS41,OUT035,3113.899648509155
FDF41,OUT035,3890.727504679187
FDU34,OUT046,2054.630196675574
DRH11,OUT046,955.7243866290614
FDM03,OUT013,1650.5207267173446
FDS31,OUT017,3048.6012938806102
FDJ20,OUT017,1994.951540556781
FDV44,OUT027,5116.598600176876
FDG02,OUT049,3117.4933917645667
FDA09,OUT013,2986.6219400848945
FDT04,OUT013,696.0831502925305
FDL58,OUT019,569.9337783206919
FDE52,OUT045,1386.797252167005
FDW12,OUT035,2492.808746235673
FDL51,OUT017,3673.5579198067217
NCY42,OUT027,2993.4932890888467
FDR07,OUT017,1534.2715799399073
FDN40,OUT045,2470.7517208776458
FDB35,OUT027,2742.445718730997
FDA22,OUT017,2529.790082469458
NCL06,OUT046,4129.072889063581
FDI35,OUT013,3053.2401228583167
NCW42,OUT045,3750.47290476965
NCX06,OUT049,2984.1341925510665
FDC37,OUT027,2882.6407080072836
FDZ14,OUT018,1950.0873356044203
DRG49,OUT049,3852.189424369884
NCG06,OUT045,4092.548873177299
DRC36,OUT045,2868.122785910989
FDV21,OUT019,282.06428722561765
FDB53,OUT046,2502.762190642436
DRP47,OUT019,570.3357288286387
FDA14,OUT013,2461.3673641301034
DRC24,OUT035,2536.485100616114
FDW21,OUT018,1608.5866260128284
NCH29,OUT046,1534.1881769000981
FDU58,OUT013,3091.216016425843
FDY27,OUT017,2882.114781708656
FDV56,OUT035,1663.3626872377508
FDT59,OUT046,3818.300136537515
FDB23,OUT046,3759.46865420625
FDR49,OUT045,763.4377163628023
FDB03,OUT010,572.3464727356826
FDN39,OUT045,2621.0612084413497
FDX02,OUT027,5852.300500348881
FDQ16,OUT027,2881.079557017777
FDU35,OUT018,1547.5283915652576
NCT29,OUT013,2018.2818494966082
FDZ27,OUT046,794.5299130872378
FDN57,OUT017,2035.3761336860114
FDA03,OUT018,2429.5397906285066
FDZ36,OUT045,3124.220936972266
NCU05,OUT013,1404.3108196711148
FDT39,OUT018,2394.981164811107
FDK60,OUT017,1534.521217103185
FDZ25,OUT017,2786.842880254413
FDG12,OUT046,2076.076346666268
DRB01,OUT019,502.1055416653621
NCC43,OUT027,5851.914289629515
FDX13,OUT019,567.720518243139
FDM22,OUT049,859.3130616458891
FDJ03,OUT027,1099.9826493383744
FDU14,OUT018,3792.356551361839
FDB33,OUT010,383.1903159384851
FDP27,OUT046,3124.149251031462
FDO38,OUT010,161.69874383108447
FDE28,OUT027,5851.914289629515
FDO27,OUT035,1517.7093757287955
DRL23,OUT027,2877.5521368151017
FDS28,OUT046,952.9167517778858
FDX24,OUT013,1453.1526301648837
FDZ02,OUT035,1529.4579221062181
FDL46,OUT045,1917.1433595309288
FDS60,OUT027,4721.006441168234
NCO06,OUT017,588.3537595359533
FDO16,OUT035,1361.7791708407385
FDC60,OUT049,1369.2187353399424
FDA48,OUT018,3440.824056833901
FDZ36,OUT027,5100.943063020667
FDK27,OUT045,2032.5242295247526
FDW23,OUT018,601.0472972940474
FDM14,OUT018,1684.5433065046882
FDM14,OUT013,1651.4261708263623
FDW60,OUT018,2827.2362570016385
FDE21,OUT013,1965.1640144737173
NCM42,OUT035,1664.9273673026694
FDY59,OUT010,228.34671403666638
DRI49,OUT049,1309.6122987791687
FDT28,OUT019,366.46116591358646
FDQ22,OUT018,602.0239586931622
FDR60,OUT049,1279.281299625113
FDC50,OUT019,237.57667149693822
FDV24,OUT013,2416.4894961127484
DRF48,OUT010,492.15718620097095
FDQ47,OUT046,629.3943709499562
DRN36,OUT049,1528.107983908495
NCY06,OUT035,2021.1452438994656
FDE52,OUT035,1386.797252167005
NCB54,OUT045,2012.5199265576375
NCF31,OUT035,2492.0625312441757
FDJ08,OUT027,5130.799114217767
NCC07,OUT017,1649.3988065302342
