Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560236
FDW14,OUT017,1591.7612740786324
NCN55,OUT010,1822.672658617002
FDQ58,OUT017,2546.362959157392
FDY38,OUT027,5087.605400109227
FDH56,OUT046,1942.6371302122507
FDL48,OUT018,680.8000272442429
FDC48,OUT027,2806.042744135887
FDN33,OUT045,1541.247755806771
FDA36,OUT017,3051.675735541096
FDT44,OUT017,2004.981655103246
FDQ56,OUT045,1358.153340629098
NCC54,OUT019,1819.7081624356479
FDU11,OUT049,2076.750193350653
DRL59,OUT013,963.7365800429809
FDM24,OUT049,2541.5716064996286
FDI57,OUT045,3047.5751030919682
DRC12,OUT018,2726.5903317931266
NCM42,OUT027,3196.3220820943375
FDA46,OUT010,1129.086593209291
FDA31,OUT013,2782.8531016284624
NCJ31,OUT035,3802.670858884
FDG52,OUT046,863.6967323629376
NCL19,OUT019,383.6749739722927
FDS10,OUT035,2986.404070313178
FDX22,OUT010,1453.2700642602736
NCF19,OUT035,998.5313152811392
NCE06,OUT046,2519.8296088661214
DRC27,OUT046,3768.6660667896876
FDE21,OUT035,2044.9750562281497
NCR42,OUT019,-1251.134114547144
FDX51,OUT018,2840.7076836527976
NCR06,OUT018,510.71347688105004
FDU31,OUT027,4872.66161821202
FDU59,OUT017,2684.9378118546256
FDR03,OUT027,4667.855182836751
FDS49,OUT027,2769.552144702107
FDD48,OUT010,-11.742853337762995
NCF18,OUT017,3083.5092213649123
NCD43,OUT027,3104.414085400249
NCD54,OUT018,2007.8274969877757
FDY19,OUT010,23.568113246544385
NCY54,OUT017,2783.241558967812
NCL19,OUT018,2023.5214175263477
FDP23,OUT010,1509.3653428274174
FDC26,OUT013,1848.5794920752446
FDR14,OUT010,-931.074945592853
NCS41,OUT035,2986.6196676007457
FDF41,OUT035,3971.3364664503215
FDU34,OUT046,2004.568317313599
DRH11,OUT046,984.16952896419
FDM03,OUT013,1734.3034064058756
FDS31,OUT017,2964.893326909248
FDJ20,OUT017,2116.7529678965675
FDV44,OUT027,4427.784808962077
FDG02,OUT049,3080.328271401883
FDA09,OUT013,2877.9901004558055
FDT04,OUT013,743.8136889644129
FDL58,OUT019,2224.4305199227942
FDE52,OUT045,1472.2979119940526
FDW12,OUT035,2500.327617754799
FDL51,OUT017,3499.17163175145
NCY42,OUT027,3669.3541994592993
FDR07,OUT017,1704.3865411049353
FDN40,OUT045,2341.925789890121
FDB35,OUT027,2975.938723178915
FDA22,OUT017,2708.4019276470285
NCL06,OUT046,4020.093188584383
FDI35,OUT013,2889.3869050858075
NCW42,OUT045,3358.986753706945
NCX06,OUT049,2926.340846616717
FDC37,OUT027,3208.315481741238
FDZ14,OUT018,1759.3628553683423
DRG49,OUT049,3880.472044509633
NCG06,OUT045,3875.8374405200043
DRC36,OUT045,2697.430348414642
FDV21,OUT019,89.20329367236491
FDB53,OUT046,2335.2836003628104
DRP47,OUT019,1969.3600466199532
FDA14,OUT013,2346.312311893471
DRC24,OUT035,2559.436840774868
FDW21,OUT018,1431.1415252561837
NCH29,OUT046,1574.190141985875
FDU58,OUT013,3038.8499545102045
FDY27,OUT017,2888.5866735281916
FDV56,OUT035,1978.635375325096
FDT59,OUT046,3588.2190445169254
FDB23,OUT046,3557.519898156397
FDR49,OUT045,760.3217983798729
FDB03,OUT010,1879.1002918477902
FDN39,OUT045,2601.0081164778535
FDX02,OUT027,4893.539499114104
FDQ16,OUT027,3196.576480281018
FDU35,OUT018,1349.33257264609
NCT29,OUT013,1985.4074128544578
FDZ27,OUT046,871.1855531616686
FDN57,OUT017,2352.025935043547
FDA03,OUT018,2095.943456367067
FDZ36,OUT045,2892.9101455455657
NCU05,OUT013,1378.534402337673
FDT39,OUT018,2199.4632583522484
FDK60,OUT017,1722.7099429732364
FDZ25,OUT017,2809.5987327632397
FDG12,OUT046,1996.264166796806
DRB01,OUT019,1083.3357803119573
NCC43,OUT027,5257.56157208832
FDX13,OUT019,1979.8573545982808
FDM22,OUT049,1099.947086110489
FDJ03,OUT027,2354.422841288428
FDU14,OUT018,3604.680000547861
FDB33,OUT010,672.5769401362724
FDP27,OUT046,2975.193406761578
FDO38,OUT010,-582.7923496414352
FDE28,OUT027,5039.5635892100145
FDO27,OUT035,1728.2847298513593
DRL23,OUT027,3168.9509894147463
FDS28,OUT046,1027.0683487085084
FDX24,OUT013,1576.8218839850065
FDZ02,OUT035,1784.0734724042354
FDL46,OUT045,1839.2554744810384
FDS60,OUT027,4250.409336238301
NCO06,OUT017,717.646590564176
FDO16,OUT035,1575.6042405473017
FDC60,OUT049,1593.7200437221416
FDA48,OUT018,3143.3858700772066
FDZ36,OUT027,4385.028482398675
FDK27,OUT045,1908.4289842610199
FDW23,OUT018,471.63255370354545
FDM14,OUT018,1541.1823508090113
FDM14,OUT013,1815.3528147796874
FDW60,OUT018,2582.116252247469
FDE21,OUT013,1937.8367449367738
NCM42,OUT035,1909.6295631404068
FDY59,OUT010,-325.2766424478088
DRI49,OUT049,1411.616461620155
FDT28,OUT019,537.2071923218468
FDQ22,OUT018,492.45161044732424
FDR60,OUT049,1379.3844046079037
FDC50,OUT019,-340.2531082544444
FDV24,OUT013,2420.1696343514545
DRF48,OUT010,1114.8936484944293
FDQ47,OUT046,720.7024107545571
DRN36,OUT049,1683.4037250766823
NCY06,OUT035,2186.54569668034
FDE52,OUT035,1667.7100348612526
NCB54,OUT045,1960.2734232898456
NCF31,OUT035,2544.246719333175
FDJ08,OUT027,4390.762654347918
